type,status,id,title,slug,date,modified,content_length,link
attachment,inherit,584,Books for Good: The Man in the Ballcap Gives Back,29df2506-0ff7-4060-b765-e805b514f6e3_4_5005_c,2024-04-04 17:07:43,2024-04-04 17:08:33,0,https://jsmcooperative.wpcomstaging.com/2024/04/04/empowering-change-how-every-book-purchase-fuels-our-mission/29df2506-0ff7-4060-b765-e805b514f6e3_4_5005_c/
attachment,inherit,109,COAT,coat,2023-12-08 22:58:36,2023-12-08 22:58:36,0,https://jsmcooperative.wpcomstaging.com/coat/
attachment,inherit,19,COVERPAGE_MANINTHEBALLCAP,coverpage_manintheballcap,2023-12-05 19:06:44,2023-12-05 19:06:44,0,https://jsmcooperative.wpcomstaging.com/coverpage_manintheballcap/
attachment,inherit,370,Contact: A Pop Art and Catholic Fusion,dall%c2%b7e-2024-03-26-20-23-54-create-a-square-image-featuring-the-word-contact-in-the-center-with-a-pop-art-style-using-bold-and-vibrant-colors-the-background-and-scenery-shoul,2024-03-26 20:25:12,2024-03-26 20:27:46,584,https://jsmcooperative.wpcomstaging.com/contactus/dall%c2%b7e-2024-03-26-20-23-54-create-a-square-image-featuring-the-word-contact-in-the-center-with-a-pop-art-style-using-bold-and-vibrant-colors-the-background-and-scenery-shoul/
attachment,inherit,230,DALL·E 2024-01-02 02.32.41 - Revise the REELz cover design for 'The Man in the Ballcap' to make the text more prominent. The cover features the man in the ballcap in the foregroun,dall%c2%b7e-2024-01-02-02-32-41-revise-the-reelz-cover-design-for-the-man-in-the-ballcap-to-make-the-text-more-prominent-the-cover-features-the-man-in-the-ballcap-in-the-foregroun,2024-01-03 21:22:51,2024-01-03 21:24:19,141,https://jsmcooperative.wpcomstaging.com/2024/01/03/embracing-the-journey/dall%c2%b7e-2024-01-02-02-32-41-revise-the-reelz-cover-design-for-the-man-in-the-ballcap-to-make-the-text-more-prominent-the-cover-features-the-man-in-the-ballcap-in-the-foregroun/
attachment,inherit,229,DALL·E 2024-01-02 02.56.42 - Create a REELz cover featuring only the words 'Dare to Explore' prominently displayed on an eerie and mysterious background. The background should be,dall%c2%b7e-2024-01-02-02-56-42-create-a-reelz-cover-featuring-only-the-words-dare-to-explore-prominently-displayed-on-an-eerie-and-mysterious-background-the-background-should-be,2024-01-03 21:17:54,2024-01-03 21:17:54,0,https://jsmcooperative.wpcomstaging.com/2024/01/03/embracing-the-journey/dall%c2%b7e-2024-01-02-02-56-42-create-a-reelz-cover-featuring-only-the-words-dare-to-explore-prominently-displayed-on-an-eerie-and-mysterious-background-the-background-should-be/
attachment,inherit,258,"DALL·E 2024-02-22 22.35.01 - Visualize a striking image that captures the essence of the novel 'The Man in the Ballcap'. In the center, a baseball cap, symbolizing the core theme",dall%c2%b7e-2024-02-22-22-35-01-visualize-a-striking-image-that-captures-the-essence-of-the-novel-the-man-in-the-ballcap-in-the-center-a-baseball-cap-symbolizing-the-core-theme,2024-02-22 22:35:42,2024-02-22 22:35:42,0,https://jsmcooperative.wpcomstaging.com/2024/02/22/%f0%9f%8c%9f-unveiling-mysteries-making-a-difference-join-the-adventure-with-the-man-in-the-ballcap-%f0%9f%93%9a%e2%9c%a8/dall%c2%b7e-2024-02-22-22-35-01-visualize-a-striking-image-that-captures-the-essence-of-the-novel-the-man-in-the-ballcap-in-the-center-a-baseball-cap-symbolizing-the-core-theme/
attachment,inherit,279,"DALL·E 2024-03-19 09.33.04 - Create an engaging and inspirational image featuring an open book with rays of light emanating from it, symbolizing hope, creativity, and the power of",dall%c2%b7e-2024-03-19-09-33-04-create-an-engaging-and-inspirational-image-featuring-an-open-book-with-rays-of-light-emanating-from-it-symbolizing-hope-creativity-and-the-power-of,2024-03-19 09:33:10,2024-03-19 09:33:10,0,https://jsmcooperative.wpcomstaging.com/2024/03/19/turning-pages-making-changes-jsm-cooperatives-leap-to-tax-exempt-status/dall%c2%b7e-2024-03-19-09-33-04-create-an-engaging-and-inspirational-image-featuring-an-open-book-with-rays-of-light-emanating-from-it-symbolizing-hope-creativity-and-the-power-of/
attachment,inherit,324,DALL·E 2024-03-23 12.56.21 - Create a compelling and visually appealing image that represents the partnership between the JSM Cooperative and Mindful Diabetes Inc for the 'JOIN TH,dall%c2%b7e-2024-03-23-12-56-21-create-a-compelling-and-visually-appealing-image-that-represents-the-partnership-between-the-jsm-cooperative-and-mindful-diabetes-inc-for-the-join-th,2024-03-23 13:07:11,2024-03-23 13:07:11,0,https://jsmcooperative.wpcomstaging.com/2024/03/23/marching-together-the-power-of-community-in-the-fight-against-alzheimers/dall%c2%b7e-2024-03-23-12-56-21-create-a-compelling-and-visually-appealing-image-that-represents-the-partnership-between-the-jsm-cooperative-and-mindful-diabetes-inc-for-the-join-th/
attachment,inherit,670,Discover 'The Man in the Ballcap' on TikTok: Mysteries in Moments with The JSM Cooperative Corporation,dall%c2%b7e-2024-04-07-13-27-22-a-dynamic-engaging-scene-perfect-for-tiktok-featuring-quick-flashes-of-mystery-and-intrigue-a-figure-in-a-distinctive-ballcap-is-caught-in-a-series,2024-04-07 13:27:39,2024-04-07 13:28:47,337,https://jsmcooperative.wpcomstaging.com/tiktok/dall%c2%b7e-2024-04-07-13-27-22-a-dynamic-engaging-scene-perfect-for-tiktok-featuring-quick-flashes-of-mystery-and-intrigue-a-figure-in-a-distinctive-ballcap-is-caught-in-a-series/
attachment,inherit,665,Dive Into The Mystery: The Man in the Ballcap on YouTube,dall%c2%b7e-2024-04-07-13-20-41-a-cozy-inviting-setting-with-a-person-in-a-distinctive-ballcap-sitting-in-a-softly-lit-room-surrounded-by-books-and-a-laptop-the-screen-displays-t,2024-04-07 13:20:55,2024-04-07 13:21:40,563,https://jsmcooperative.wpcomstaging.com/youtube/dall%c2%b7e-2024-04-07-13-20-41-a-cozy-inviting-setting-with-a-person-in-a-distinctive-ballcap-sitting-in-a-softly-lit-room-surrounded-by-books-and-a-laptop-the-screen-displays-t/
attachment,inherit,471,Donation,dall%c2%b7e-2024-03-27-19-58-10-a-serene-and-spiritual-image-that-embodies-the-essence-of-catholic-faith-with-a-strong-emphasis-on-the-act-of-giving-and-charity-at-the-center-of-th,2024-03-27 19:59:13,2024-03-27 19:59:19,0,https://jsmcooperative.wpcomstaging.com/donate/dall%c2%b7e-2024-03-27-19-58-10-a-serene-and-spiritual-image-that-embodies-the-essence-of-catholic-faith-with-a-strong-emphasis-on-the-act-of-giving-and-charity-at-the-center-of-th/
attachment,inherit,3381,Esther Cora Rivera,esther-cora-rivera,2025-11-23 00:07:11,2025-11-23 00:07:11,0,https://jsmcooperative.wpcomstaging.com/esther-cora-rivera/
attachment,inherit,510,IMG_0464,img_0464,2024-04-01 20:18:38,2024-04-01 20:18:38,0,https://jsmcooperative.wpcomstaging.com/team/img_0464/
attachment,inherit,511,IMG_0464-1,img_0464-1,2024-04-01 20:23:14,2024-04-01 20:23:14,0,https://jsmcooperative.wpcomstaging.com/team/img_0464-1/
attachment,inherit,516,IMG_0629,img_0629,2024-04-01 20:27:13,2024-04-01 20:27:13,0,https://jsmcooperative.wpcomstaging.com/team/img_0629/
attachment,inherit,514,IMG_1156,img_1156,2024-04-01 20:26:41,2024-04-01 20:26:41,0,https://jsmcooperative.wpcomstaging.com/team/img_1156/
attachment,inherit,3448,IMG_5702,adobe-express-jointhecamino,2025-11-29 23:41:02,2025-11-29 23:41:59,0,https://jsmcooperative.wpcomstaging.com/adobe-express-jointhecamino/
attachment,inherit,500,IMG_5703,img_5702,2024-04-01 17:23:08,2025-11-29 23:41:14,0,https://jsmcooperative.wpcomstaging.com/team/img_5702/
attachment,inherit,654,Instagram image,mercedes-house-2,2024-04-07 12:59:04,2024-04-07 12:59:12,0,https://jsmcooperative.wpcomstaging.com/instagram/mercedes-house-2/
attachment,inherit,488,JR,jr,2024-03-31 17:59:08,2024-03-31 17:59:08,0,https://jsmcooperative.wpcomstaging.com/team/jr/
attachment,inherit,145,JSM 1,jsm-1,2023-12-26 03:35:07,2023-12-26 03:35:07,0,https://jsmcooperative.wpcomstaging.com/2023/12/05/first-blog-post-for-jsm-cooperative-announcing-the-man-in-the-ballcap/jsm-1/
attachment,inherit,1469,JSM LOGO,jsm-logo,2025-02-25 23:37:47,2025-02-25 23:37:47,0,https://jsmcooperative.wpcomstaging.com/?attachment_id=1469
attachment,inherit,3384,Jack Scilla,jack-scilla,2025-11-23 00:30:24,2025-11-23 00:31:26,0,https://jsmcooperative.wpcomstaging.com/jack-scilla/
attachment,inherit,3380,Jacob Geller,jacob-geller,2025-11-23 00:04:11,2025-11-23 00:04:11,0,https://jsmcooperative.wpcomstaging.com/jacob-geller/
attachment,inherit,118,LOGO,logo,2023-12-10 17:11:22,2023-12-10 17:11:22,0,https://jsmcooperative.wpcomstaging.com/logo/
attachment,inherit,262,Mystery Meets Heritage: The Journey Begins,dall%c2%b7e-2024-02-22-23-23-36-create-an-evocative-image-that-serves-as-the-perfect-featured-image-for-a-website-page-the-image-should-center-around-a-baseball-cap-symbolizing-the,2024-02-22 23:24:38,2024-02-22 23:36:19,574,https://jsmcooperative.wpcomstaging.com/dall%c2%b7e-2024-02-22-23-23-36-create-an-evocative-image-that-serves-as-the-perfect-featured-image-for-a-website-page-the-image-should-center-around-a-baseball-cap-symbolizing-the/
attachment,inherit,6,Placeholder Image,placeholder-image,2023-12-05 18:19:27,2023-12-05 18:19:27,0,https://jsmcooperative.wpcomstaging.com/placeholder-image/
attachment,inherit,7,Placeholder Image,placeholder-image-2,2023-12-05 18:19:27,2023-12-05 18:19:27,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-2/
attachment,inherit,8,Placeholder Image,placeholder-image-3,2023-12-05 18:19:28,2023-12-05 18:19:28,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-3/
attachment,inherit,9,Placeholder Image,placeholder-image-4,2023-12-05 18:19:28,2023-12-05 18:19:28,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-4/
attachment,inherit,10,Placeholder Image,placeholder-image-5,2023-12-05 18:19:28,2023-12-05 18:19:28,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-5/
attachment,inherit,11,Placeholder Image,placeholder-image-6,2023-12-05 18:19:28,2023-12-05 18:19:28,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-6/
attachment,inherit,13,Placeholder Image,placeholder-image-7,2023-12-05 18:19:28,2023-12-05 18:19:28,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-7/
attachment,inherit,14,Placeholder Image,placeholder-image-8,2023-12-05 18:19:30,2023-12-05 18:19:30,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-8/
attachment,inherit,15,Placeholder Image,placeholder-image-9,2023-12-05 18:19:30,2023-12-05 18:19:30,0,https://jsmcooperative.wpcomstaging.com/placeholder-image-9/
attachment,inherit,289,READING THUMBAIL,reading-thumbail,2024-03-19 09:59:39,2024-03-19 09:59:39,0,https://jsmcooperative.wpcomstaging.com/chapter-readings/reading-thumbail/
attachment,inherit,507,"Robert Suchor, Bobby Suchor, Bob Suchor, Rob Suchor talking about JOIN THE CAMINO",robertsuchorgif-ezgif-com-video-to-gif-converter-1,2024-04-01 19:09:08,2024-04-07 01:03:54,0,https://jsmcooperative.wpcomstaging.com/team/robertsuchorgif-ezgif-com-video-to-gif-converter-1/
attachment,inherit,375,SDG3,sdg3,2024-03-26 21:23:02,2024-03-26 21:23:02,0,https://jsmcooperative.wpcomstaging.com/?attachment_id=375
attachment,inherit,452,Subscribe to our Newsletter,dall%c2%b7e-2024-03-27-17-58-00-create-a-square-image-featuring-the-word-subscribe-in-the-center-with-a-pop-art-style-using-bold-and-vibrant-colors-similar-to-the-previous-design,2024-03-27 17:58:15,2024-03-27 17:58:29,0,https://jsmcooperative.wpcomstaging.com/newsletter/dall%c2%b7e-2024-03-27-17-58-00-create-a-square-image-featuring-the-word-subscribe-in-the-center-with-a-pop-art-style-using-bold-and-vibrant-colors-similar-to-the-previous-design/
attachment,inherit,558,TEAM,dall%c2%b7e-2024-04-01-21-17-53-a-powerful-and-inspiring-image-that-merges-the-spirit-of-teamwork-with-the-profound-symbolism-of-the-catholic-faith-the-central-focus-is-the-word-te,2024-04-01 21:18:06,2024-04-01 21:18:10,0,https://jsmcooperative.wpcomstaging.com/team/dall%c2%b7e-2024-04-01-21-17-53-a-powerful-and-inspiring-image-that-merges-the-spirit-of-teamwork-with-the-profound-symbolism-of-the-catholic-faith-the-central-focus-is-the-word-te/
attachment,inherit,513,The 17 Sustainable Development Goals by the United Nations,img_2904,2024-04-01 20:25:46,2024-04-05 20:58:59,138,https://jsmcooperative.wpcomstaging.com/team/img_2904/
attachment,inherit,346,United Nations Sustainable Development Goals,sdg,2024-03-25 19:56:54,2024-03-25 19:57:07,0,https://jsmcooperative.wpcomstaging.com/sdg/
attachment,inherit,658,Unveiling The Man in the Ballcap: A Journey with JSM Cooperative Corporation,dall%c2%b7e-2024-04-07-13-11-26-a-mysterious-figure-wearing-a-distinctive-ballcap-partially-obscured-by-shadow-holding-a-camera-in-one-hand-and-a-map-in-the-other-surrounded-by-a,2024-04-07 13:12:00,2024-04-07 13:12:48,538,https://jsmcooperative.wpcomstaging.com/instagram/dall%c2%b7e-2024-04-07-13-11-26-a-mysterious-figure-wearing-a-distinctive-ballcap-partially-obscured-by-shadow-holding-a-camera-in-one-hand-and-a-map-in-the-other-surrounded-by-a/
attachment,inherit,158,advertisements,advertisements,2023-12-26 12:11:22,2023-12-26 12:11:22,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/thanks-from-the-jsm-cooperative/advertisements/
attachment,inherit,104,barnes-and-noble-logo white,barnes-and-noble-logo-white,2023-12-08 22:47:09,2023-12-08 22:47:09,0,https://jsmcooperative.wpcomstaging.com/barnes-and-noble-logo-white/
attachment,inherit,166,basement new1,basement-new1,2023-12-26 12:23:48,2023-12-26 12:23:48,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/thanks-from-the-jsm-cooperative/basement-new1/
attachment,inherit,195,basement-new1-1,basement-new1-1,2023-12-30 03:58:41,2023-12-30 03:58:41,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/basement-new1-1/
attachment,inherit,194,basement3,basement3,2023-12-30 03:58:09,2023-12-30 03:58:09,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/basement3/
attachment,inherit,192,basement4,basement4,2023-12-30 03:56:25,2023-12-30 03:56:25,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/basement4/
attachment,inherit,196,basement4-1,basement4-1,2023-12-30 03:58:56,2023-12-30 03:58:56,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/basement4-1/
attachment,inherit,190,bestpepe,bestpepe,2023-12-30 03:55:10,2023-12-30 03:55:10,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/bestpepe/
attachment,inherit,156,bookstore2,bookstore2,2023-12-26 12:10:36,2023-12-26 12:10:36,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/thanks-from-the-jsm-cooperative/bookstore2/
attachment,inherit,27,cover,cover,2023-12-05 19:51:50,2023-12-05 19:51:50,0,https://jsmcooperative.wpcomstaging.com/2023/12/05/first-blog-post-for-jsm-cooperative-announcing-the-man-in-the-ballcap/cover/
attachment,inherit,119,cropped-logo.png,cropped-logo-png,2023-12-10 17:11:31,2023-12-10 17:11:31,63,https://jsmcooperative.wpcomstaging.com/cropped-logo-png/
attachment,inherit,201,dallc2b7e-2023-12-30-04.12.43-create-a-clear-and-noticeable-image-of-a-downward-pointing-arrow.-the-arrow-should-be-large-and-striking-with-a-vivid-color-that-stands-out-against-a,dallc2b7e-2023-12-30-04-12-43-create-a-clear-and-noticeable-image-of-a-downward-pointing-arrow-the-arrow-should-be-large-and-striking-with-a-vivid-color-that-stands-out-against-a,2023-12-30 04:12:48,2023-12-30 04:12:48,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/dallc2b7e-2023-12-30-04-12-43-create-a-clear-and-noticeable-image-of-a-downward-pointing-arrow-the-arrow-should-be-large-and-striking-with-a-vivid-color-that-stands-out-against-a/
attachment,inherit,246,dallc2b7e-2024-01-08-09.27.06-a-web-style-button-with-rounded-corners-featuring-the-phrase-quieres-el-libro-en-espanol_-in-black-lettering-on-a-red-background.-the-button-should-1,dallc2b7e-2024-01-08-09-27-06-a-web-style-button-with-rounded-corners-featuring-the-phrase-quieres-el-libro-en-espanol_-in-black-lettering-on-a-red-background-the-button-should-1,2024-01-08 09:28:41,2024-01-08 09:28:41,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/dallc2b7e-2024-01-08-09-27-06-a-web-style-button-with-rounded-corners-featuring-the-phrase-quieres-el-libro-en-espanol_-in-black-lettering-on-a-red-background-the-button-should-1/
attachment,inherit,248,dallc2b7e-2024-01-08-09.33.19-a-digital-button-with-rounded-corners-designed-for-a-website.-the-button-is-red-with-black-lettering.-the-words-quieres-leer-el-libro-en-espanol_-a-1,dallc2b7e-2024-01-08-09-33-19-a-digital-button-with-rounded-corners-designed-for-a-website-the-button-is-red-with-black-lettering-the-words-quieres-leer-el-libro-en-espanol_-a-1,2024-01-08 09:34:54,2024-01-08 09:34:54,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/dallc2b7e-2024-01-08-09-33-19-a-digital-button-with-rounded-corners-designed-for-a-website-the-button-is-red-with-black-lettering-the-words-quieres-leer-el-libro-en-espanol_-a-1/
attachment,inherit,499,join-the-camino-mp4,join-the-camino-mp4,2024-04-01 17:22:32,2024-04-01 17:23:27,0,https://jsmcooperative.wpcomstaging.com/join-the-camino-mp4/
attachment,inherit,501,join-the-camino_mp4_avc_240p.original,join-the-camino_mp4_avc_240p-original,2024-04-01 17:23:19,2024-04-01 17:23:19,0,https://jsmcooperative.wpcomstaging.com/join-the-camino-mp4/join-the-camino_mp4_avc_240p-original/
attachment,inherit,160,jsm-2,jsm-2,2023-12-26 12:12:41,2023-12-26 12:12:41,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/thanks-from-the-jsm-cooperative/jsm-2/
attachment,inherit,135,onsalepreorder_cropped,onsalepreorder_cropped,2023-12-26 03:05:15,2023-12-26 03:05:15,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/onsalepreorder_cropped/
attachment,inherit,187,pepe-and-tower,pepe-and-tower,2023-12-30 03:54:03,2023-12-30 03:54:03,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/pepe-and-tower/
attachment,inherit,183,pepe-looking,pepe-looking,2023-12-30 03:52:36,2023-12-30 03:52:36,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/pepe-looking/
attachment,inherit,185,pepe-looking-1,pepe-looking-1,2023-12-30 03:53:19,2023-12-30 03:53:19,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/pepe-looking-1/
attachment,inherit,188,plaza-maria-prita,plaza-maria-prita,2023-12-30 03:54:24,2023-12-30 03:54:24,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/plaza-maria-prita/
attachment,inherit,331,screenshot-2024-03-23-at-1.18.00e280afpm,screenshot-2024-03-23-at-1-18-00e280afpm,2024-03-23 13:18:22,2024-03-23 13:18:22,0,https://jsmcooperative.wpcomstaging.com/2024/03/23/marching-together-the-power-of-community-in-the-fight-against-alzheimers/screenshot-2024-03-23-at-1-18-00e280afpm/
attachment,inherit,12,site-logo,site-logo,2023-12-05 18:19:28,2023-12-05 18:19:28,0,https://jsmcooperative.wpcomstaging.com/site-logo/
custom_css,publish,395,freddie,freddie,2024-03-26 22:18:49,2024-03-26 22:43:59,479,https://jsmcooperative.wpcomstaging.com/2024/03/26/freddie/
elementor_library,draft,537,Elementor Page #537,,2024-04-01 20:59:42,2024-04-01 20:59:42,0,https://jsmcooperative.wpcomstaging.com/?post_type=elementor_library&p=537
elementor_library,publish,337,Default Kit,default-kit,2024-03-25 19:42:59,2025-12-14 21:43:38,0,https://jsmcooperative.wpcomstaging.com/?elementor_library=default-kit
feedback,publish,1512,- 2025-02-28 21:41:24,7acab309df9623a524b74d2dce5118c1,2025-02-28 21:41:24,2025-02-28 21:41:24,330,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=1512
feedback,publish,2813,- 2025-08-08 11:43:09,4a8f88df74ba25d4eebaca0b0e71d818,2025-08-08 11:43:09,2025-08-08 11:43:09,330,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=2813
feedback,publish,1324,Darci Hargrave - 2025-01-30 05:05:15,753d19560310d042ce7c5a15a8b77af5,2025-01-30 05:05:15,2025-01-30 05:05:15,412,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=1324
feedback,publish,3033,Emelia Checchi - 2025-09-17 21:37:50,4a15bd439db0f6ce50eef29ea60fcdc2,2025-09-17 21:37:50,2025-09-17 21:37:50,1066,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=3033
feedback,publish,1939,Erlinda Appleroth - 2025-04-23 21:43:26,76e335df5f7b704d49af80c58a261433,2025-04-23 21:43:26,2025-04-23 21:43:26,419,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=1939
feedback,publish,1658,Jayrn Marques - 2025-03-21 22:41:18,3050163acc853ef521d515986f2b3cbc,2025-03-21 22:41:18,2025-03-21 22:41:18,404,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=1658
feedback,publish,1815,Karma Sapp - 2025-04-09 14:55:44,e3bcad876c8f2dcb691c4cc337a3560d,2025-04-09 14:55:44,2025-04-09 14:55:44,392,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=1815
feedback,publish,1893,Klara Sayers - 2025-04-19 04:26:27,615a3c7f1b1f2e822f2deab0e3ff3aa6,2025-04-19 04:26:27,2025-04-19 04:26:27,410,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=1893
feedback,publish,1348,Shawna Manna - 2025-02-04 11:12:08,fb023a12f3419788744d4c89fb53098a,2025-02-04 11:12:08,2025-02-04 11:12:08,399,https://jsmcooperative.wpcomstaging.com/?post_type=feedback&p=1348
jp_pay_product,draft,48,Jetpack t-shirt,,2023-12-05 20:45:20,2023-12-05 20:45:20,85,https://jsmcooperative.wpcomstaging.com/?post_type=jp_pay_product&p=48
mc4wp-form,publish,355,Subscribe,subscribe,2024-03-26 18:43:53,2024-03-26 18:43:53,172,https://jsmcooperative.wpcomstaging.com/mc4wp-form/subscribe/
nav_menu_item,publish,456,,456,2024-03-27 18:00:16,2024-03-27 18:00:16,1,https://jsmcooperative.wpcomstaging.com/2024/03/27/456/
nav_menu_item,publish,457,,457,2024-03-27 18:00:16,2024-03-27 18:00:16,1,https://jsmcooperative.wpcomstaging.com/2024/03/27/457/
nav_menu_item,publish,458,,458,2024-03-27 18:00:16,2024-03-27 18:00:16,1,https://jsmcooperative.wpcomstaging.com/2024/03/27/458/
nav_menu_item,publish,455,Home,home,2024-03-27 18:00:16,2024-03-27 18:00:16,0,https://jsmcooperative.wpcomstaging.com/2024/03/27/home/
page,publish,576,Blogs,blogs,2024-04-01 21:53:34,2025-11-22 23:37:58,19237,https://jsmcooperative.wpcomstaging.com/blogs/
page,publish,286,Chapter Readings: The Man in the Ballcap,chapter-readings,2024-03-19 09:59:53,2024-04-06 03:06:27,9388,https://jsmcooperative.wpcomstaging.com/chapter-readings/
page,publish,1,Contact Us,contactus,2023-12-05 23:19:25,2025-11-23 01:16:33,4086,https://jsmcooperative.wpcomstaging.com/contactus/
page,publish,462,Donate,donate,2024-03-27 19:43:10,2025-11-22 23:46:47,32038,https://jsmcooperative.wpcomstaging.com/donate/
page,publish,652,Instagram,instagram,2024-04-07 13:08:00,2024-04-07 13:22:45,31,https://jsmcooperative.wpcomstaging.com/instagram/
page,publish,446,Newsletter,newsletter,2024-03-27 17:51:09,2025-11-30 00:05:11,46501,https://jsmcooperative.wpcomstaging.com/newsletter/
page,publish,1460,Novel-Subscription,novel-subscription,2025-02-25 23:31:06,2025-11-29 23:59:31,7926,https://jsmcooperative.wpcomstaging.com/novel-subscription/
page,publish,480,Our Team,team,2024-03-28 00:54:11,2025-11-23 00:43:12,29934,https://jsmcooperative.wpcomstaging.com/team/
page,publish,668,TikTok,tiktok,2024-04-07 13:29:04,2024-04-07 19:26:42,49,https://jsmcooperative.wpcomstaging.com/tiktok/
page,publish,661,Youtube,youtube,2024-04-07 13:21:55,2024-04-07 13:21:56,417,https://jsmcooperative.wpcomstaging.com/youtube/
